PdfType: central
Format: lhagrid1
---
1.0000000e-09 1.2805087e-09 1.6397027e-09 2.0996536e-09 2.6886248e-09 3.4428076e-09 4.4085452e-09 5.6451808e-09 7.2287034e-09 9.2564179e-09 1.1852924e-08 1.5177773e-08 1.9435271e-08 2.4887035e-08 3.1868066e-08 4.0807337e-08 5.2254152e-08 6.6911899e-08 8.5681272e-08 1.0971562e-07 1.4049181e-07 1.7990099e-07 2.3036479e-07 2.9498413e-07 3.7772976e-07 4.8368627e-07 6.1936450e-07 7.9310166e-07 1.0155736e-06 1.3004509e-06 1.6652388e-06 2.1323528e-06 2.7304964e-06 3.4964246e-06 4.4772022e-06 5.7330966e-06 7.3412804e-06 9.4005738e-06 1.2037517e-05 1.5414146e-05 1.9737949e-05 2.5274616e-05 3.2364367e-05 4.1442855e-05 5.3067938e-05 6.7953959e-05 8.7015639e-05 1.1142429e-04 1.4267978e-04 1.8270270e-04 2.3395241e-04 2.9957810e-04 3.8361238e-04 4.9121901e-04 6.2901024e-04 8.0545312e-04 1.0313898e-03 1.3207036e-03 1.6911725e-03 2.1655612e-03 2.7730201e-03 3.5508765e-03 4.5469285e-03 5.8223817e-03 7.4556107e-03 9.5469747e-03 1.2224985e-02 1.5654200e-02 2.0045340e-02 2.5668233e-02 3.2868397e-02 4.2088270e-02 5.3894398e-02 6.9012248e-02 8.8370787e-02 1.0000000e-01 1.1216216e-01 1.2432432e-01 1.3648649e-01 1.4864865e-01 1.6081081e-01 1.7297297e-01 1.8513514e-01 1.9729730e-01 2.0945946e-01 2.2162162e-01 2.3378378e-01 2.4594595e-01 2.5810811e-01 2.7027027e-01 2.8243243e-01 2.9459459e-01 3.0675676e-01 3.1891892e-01 3.3108108e-01 3.4324324e-01 3.5540541e-01 3.6756757e-01 3.7972973e-01 3.9189189e-01 4.0405405e-01 4.1621622e-01 4.2837838e-01 4.4054054e-01 4.5270270e-01 4.6486486e-01 4.7702703e-01 4.8918919e-01 5.0135135e-01 5.1351351e-01 5.2567568e-01 5.3783784e-01 5.5000000e-01 5.6216216e-01 5.7432432e-01 5.8648649e-01 5.9864865e-01 6.1081081e-01 6.2297297e-01 6.3513514e-01 6.4729730e-01 6.5945946e-01 6.7162162e-01 6.8378378e-01 6.9594595e-01 7.0810811e-01 7.2027027e-01 7.3243243e-01 7.4459459e-01 7.5675676e-01 7.6891892e-01 7.8108108e-01 7.9324324e-01 8.0540541e-01 8.1756757e-01 8.2972973e-01 8.4189189e-01 8.5405405e-01 8.6621622e-01 8.7837838e-01 8.9054054e-01 9.0270270e-01 9.1486486e-01 9.2702703e-01 9.3918919e-01 9.5135135e-01 9.6351351e-01 9.7567568e-01 9.8783784e-01 1.0000000e+00 
1.6500000e+00 1.7874388e+00 1.9429053e+00 2.1193749e+00 2.3204100e+00 2.5502945e+00 2.8142025e+00 3.1184123e+00 3.4705775e+00 3.8800752e+00 4.3584516e+00 4.9200000e+00 
-5 -4 -3 -2 -1 21 1 2 3 4 5 
  2.4635712E-09  2.1865119E-02  2.2861229E+00  3.2754084E+00  2.3919466E+00 -2.5090401E+00  2.3922974E+00  3.2757743E+00  2.2860184E+00  2.1865123E-02  2.4637457E-09
  8.3446504E-10  1.4565197E-01  2.4014753E+00  3.3851807E+00  2.5087603E+00  9.7045447E-01  2.5091158E+00  3.3855517E+00  2.4013697E+00  1.4565197E-01  8.3446504E-10
  1.4146169E-08  3.2130206E-01  2.5687806E+00  3.5469716E+00  2.6774985E+00  5.4752281E+00  2.6778589E+00  3.5473479E+00  2.5686739E+00  3.2130205E-01  1.4146169E-08
 -3.9219857E-08  5.5831145E-01  2.7975237E+00  3.7702646E+00  2.9076454E+00  1.1238395E+01  2.9080104E+00  3.7706459E+00  2.7974157E+00  5.5831149E-01 -3.9219857E-08
  1.0728836E-08  8.6722696E-01  3.0982418E+00  4.0655964E+00  3.2097399E+00  1.8536741E+01  3.2101097E+00  4.0659828E+00  3.0981327E+00  8.6722697E-01  1.0728836E-08
  8.2850455E-09  1.2597354E+00  3.4826155E+00  4.4446461E+00  3.5954622E+00  2.7696665E+01  3.5958369E+00  4.4450376E+00  3.4825051E+00  1.2597354E+00  8.2850455E-09
  6.3578299E-10  1.7487628E+00  3.9635655E+00  4.9203333E+00  4.0777341E+00  3.9100557E+01  4.0781135E+00  4.9207301E+00  3.9634539E+00  1.7487628E+00  6.3578299E-10
  1.8715859E-08  2.3485882E+00  4.5553672E+00  5.5069329E+00  4.6708311E+00  5.3193623E+01  4.6712155E+00  5.5073351E+00  4.5552546E+00  2.3485883E+00  1.8715859E-08
  1.2795130E-08  3.0749656E+00  5.2737727E+00  6.2201955E+00  5.3905055E+00  7.0491088E+01  5.3908946E+00  6.2206026E+00  5.2736586E+00  3.0749656E+00  1.2795130E-08
 -5.8054925E-08  3.9452583E+00  6.1361430E+00  7.0774809E+00  6.2541196E+00  9.1585882E+01  6.2545136E+00  7.0778934E+00  6.1360278E+00  3.9452582E+00 -5.8054925E-08
 -3.6358834E-08  4.9785830E+00  7.1615947E+00  8.0979045E+00  7.2807898E+00  1.1715675E+02  7.2811889E+00  8.0983224E+00  7.1614783E+00  4.9785829E+00 -3.6358834E-08
 -3.5186610E-08  6.1960415E+00  8.3712289E+00  9.3025663E+00  8.4916185E+00  1.4797684E+02  8.4920224E+00  9.3029895E+00  8.3711113E+00  6.1960414E+00 -3.5186610E-08
 -2.0583134E-08  2.1443266E-02  2.2086066E+00  3.1416856E+00  2.3329971E+00 -2.2097721E+00  2.3333769E+00  3.1420821E+00  2.2084945E+00  2.1443264E-02 -2.0583808E-08
 -4.0531162E-09  1.4328008E-01  2.3223430E+00  3.2503498E+00  2.4478722E+00  1.2024810E+00  2.4482574E+00  3.2507519E+00  2.3222298E+00  1.4328007E-01 -4.0531162E-09
